Report Date:,11/22/2019 23:29:53
Report User Name:,Ian
Report Computer Name:,SLOCUM
Application:,WinSitu.exe
Application Version:,5.7.6.1


Log File Properties
File Name,2019-06-23_630411_2019-09-27_09-34-15-429.wsl
Create Date,9/27/2019 16:33:28

Device Properties
Device,Aqua TROLL 100
Site,Yaquina_Dock5
Device Name,3 ft (SN630411)
Serial Number,630411
Firmware Version,2.01
Hardware Version,4
Device Address,1
Device Comm Cfg,9600,8,None,1,(Modbus-ASCII)
Used Memory,12
Used Battery,11

Log Configuration
,Log Name,2019-06-23_630411
,Created By,Ian
,Computer Name,SLOCUM
,Application,WinSitu.exe
,Application Version,5.7.6.1
,Create Date,6/23/2019 02:10:33 UTC
,Log Setup Time Zone,Unknown
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Start Time,6/24/2019 00:00:00 UTC
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 00 mins: 15 secs: 00





Other Log Settings

,Specific Conductivity Model:,Standard Methods
,,Reference Temperature:,25
,,Temperature Coefficient:,0.0191


Log Notes:
Date and Time (UTC),Note
6/23/2019 02:10:59 ,Used Battery: 11% Used Memory: 14%   User Name: Ian
9/27/2019 16:21:39 ,Used Battery: 17% Used Memory: 20%   User Name: Ian
9/27/2019 16:21:39 ,Manual Stop Command


Log Data:
Record Count,9186

Sensors,1

 ,1,630411,Conductivity



,Sensor: Cond                            ,Sensor: Cond                            ,Sensor: Cond                            ,Sensor: Cond                            ,Sensor: Cond                            ,
,SN#: 630411                             ,SN#: 630411                             ,SN#: 630411                             ,SN#: 630411                             ,SN#: 630411                             ,
Date and Time (UTC),Temperature (C)                         ,Actual Conductivity (µS/cm)             ,Specific Conductivity (µS/cm)           ,Salinity (PSU)                          ,Water Density (g/cm3)                   ,
6/25/2019 10:30:00 ,                                  11.691,                               37123.742,                               49776.867,                                  32.301,                                   1.025,
6/25/2019 10:45:00 ,                                  11.807,                               37121.637,                               49626.445,                                  32.205,                                   1.024,
6/25/2019 11:00:00 ,                                  11.817,                               37165.883,                               49673.762,                                  32.240,                                   1.024,
6/25/2019 11:15:00 ,                                  11.909,                               37142.590,                               49526.598,                                  32.143,                                   1.024,
6/25/2019 11:30:00 ,                                  11.901,                               37157.492,                               49555.348,                                  32.163,                                   1.024,
6/25/2019 11:45:00 ,                                  11.842,                               37159.313,                               49633.223,                                  32.213,                                   1.024,
6/25/2019 12:00:00 ,                                  11.924,                               37156.797,                               49525.910,                                  32.144,                                   1.024,
6/25/2019 12:15:00 ,                                  12.128,                               37250.984,                               49395.262,                                  32.071,                                   1.024,
6/25/2019 12:30:00 ,                                  12.231,                               37274.074,                               49296.723,                                  32.010,                                   1.024,
6/25/2019 12:45:00 ,                                  12.091,                               37267.238,                               49463.047,                                  32.116,                                   1.024,
6/25/2019 13:00:00 ,                                  11.970,                               37174.719,                               49492.301,                                  32.125,                                   1.024,
6/25/2019 13:15:00 ,                                  11.847,                               37155.645,                               49622.152,                                  32.206,                                   1.024,
6/25/2019 13:30:00 ,                                  11.783,                               37115.563,                               49649.297,                                  32.219,                                   1.024,
6/25/2019 13:45:00 ,                                  11.548,                               37030.727,                               49835.016,                                  32.328,                                   1.025,
6/25/2019 14:00:00 ,                                  11.908,                               37187.938,                               49587.383,                                  32.187,                                   1.024,
6/25/2019 14:15:00 ,                                  11.857,                               37161.758,                               49617.844,                                  32.204,                                   1.024,
6/25/2019 14:30:00 ,                                  11.858,                               37145.473,                               49594.727,                                  32.187,                                   1.024,
6/25/2019 14:45:00 ,                                  11.380,                               36903.535,                               49879.813,                                  32.342,                                   1.025,
6/25/2019 15:00:00 ,                                  11.412,                               36931.934,                               49876.223,                                  32.343,                                   1.025,
6/25/2019 15:15:00 ,                                  11.466,                               36957.148,                               49841.535,                                  32.323,                                   1.025,
6/25/2019 15:30:00 ,                                  11.459,                               36827.977,                               49675.691,                                  32.203,                                   1.025,
6/25/2019 15:45:00 ,                                  11.421,                               36844.375,                               49746.668,                                  32.250,                                   1.025,
6/25/2019 16:00:00 ,                                  11.594,                               36891.512,                               49589.523,                                  32.155,                                   1.024,
6/25/2019 16:15:00 ,                                  11.469,                               36904.684,                               49766.242,                                  32.269,                                   1.025,
6/25/2019 16:30:00 ,                                  11.606,                               36972.867,                               49682.586,                                  32.224,                                   1.025,
6/25/2019 16:45:00 ,                                  11.541,                               36941.031,                               49722.770,                                  32.246,                                   1.025,
6/25/2019 17:00:00 ,                                  11.747,                               36994.777,                               49532.957,                                  32.131,                                   1.024,
6/25/2019 17:15:00 ,                                  11.971,                               37070.641,                               49352.598,                                  32.024,                                   1.024,
6/25/2019 17:30:00 ,                                  11.956,                               37044.703,                               49336.320,                                  32.011,                                   1.024,
6/25/2019 17:45:00 ,                                  11.810,                               37014.941,                               49480.938,                                  32.100,                                   1.024,
6/25/2019 18:00:00 ,                                  11.893,                               37006.965,                               49365.516,                                  32.025,                                   1.024,
6/25/2019 18:15:00 ,                                  12.164,                               37120.367,                               49177.344,                                  31.917,                                   1.024,
6/25/2019 18:30:00 ,                                  12.092,                               37190.672,                               49359.504,                                  32.041,                                   1.024,
6/25/2019 18:45:00 ,                                  12.080,                               37098.668,                               49253.180,                                  31.963,                                   1.024,
6/25/2019 19:00:00 ,                                  12.126,                               37079.047,                               49169.625,                                  31.908,                                   1.024,
6/25/2019 19:15:00 ,                                  12.350,                               37220.328,                               49078.305,                                  31.864,                                   1.024,
6/25/2019 19:30:00 ,                                  12.321,                               37220.645,                               49114.695,                                  31.887,                                   1.024,
6/25/2019 19:45:00 ,                                  12.355,                               37245.785,                               49105.504,                                  31.884,                                   1.024,
6/25/2019 20:00:00 ,                                  12.624,                               37341.961,                               48901.105,                                  31.762,                                   1.024,
6/25/2019 20:15:00 ,                                  12.859,                               37397.328,                               48687.695,                                  31.630,                                   1.024,
6/25/2019 20:30:00 ,                                  13.106,                               37386.355,                               48376.656,                                  31.428,                                   1.024,
6/25/2019 20:45:00 ,                                  13.149,                               37455.914,                               48414.707,                                  31.459,                                   1.024,
6/25/2019 21:00:00 ,                                  13.275,                               37469.348,                               48281.836,                                  31.375,                                   1.024,
